STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,USA,United States,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1971,,-0.180747224506903,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,AUS,Australia,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1972,,0.107202048252825,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,CAN,Canada,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1972,,-0.986858484378943,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,DNK,Denmark,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1972,,1.04606121443962,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,FRA,France,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1972,,-0.442864002438232,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,NZL,New Zealand,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1972,,-1.56109212072994,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,NOR,Norway,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1972,,5.04290698465456,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,USA,United States,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1972,,-0.180965017621815,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,AUS,Australia,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1973,,-4.19147341910715,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,CAN,Canada,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1973,,-0.95968740227991,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
